Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0138,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779888.1_1.fastq.gz,s3://mybucket23443243SRR18779888.1_2.fastq.gz
vp_0139,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779889.1_1.fastq.gz,s3://mybucket23443243SRR18779889.1_2.fastq.gz
vp_0140,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423223.1_1.fastq.gz,s3://mybucket23443243SRR19423223.1_2.fastq.gz
vp_0141,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423224.1_1.fastq.gz,s3://mybucket23443243SRR19423224.1_2.fastq.gz
vp_0142,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423225.1_1.fastq.gz,s3://mybucket23443243SRR19423225.1_2.fastq.gz
vp_0143,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423226.1_1.fastq.gz,s3://mybucket23443243SRR19423226.1_2.fastq.gz
vp_0144,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423227.1_1.fastq.gz,s3://mybucket23443243SRR19423227.1_2.fastq.gz
vp_0145,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19423228.1_1.fastq.gz,s3://mybucket23443243SRR19423228.1_2.fastq.gz
vp_0146,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434761.1_1.fastq.gz,s3://mybucket23443243SRR19434761.1_2.fastq.gz
vp_0147,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434762.1_1.fastq.gz,s3://mybucket23443243SRR19434762.1_2.fastq.gz
vp_0148,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434763.1_1.fastq.gz,s3://mybucket23443243SRR19434763.1_2.fastq.gz
vp_0149,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434764.1_1.fastq.gz,s3://mybucket23443243SRR19434764.1_2.fastq.gz
vp_0150,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434765.1_1.fastq.gz,s3://mybucket23443243SRR19434765.1_2.fastq.gz
vp_0151,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434766.1_1.fastq.gz,s3://mybucket23443243SRR19434766.1_2.fastq.gz
vp_0152,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434767.1_1.fastq.gz,s3://mybucket23443243SRR19434767.1_2.fastq.gz
vp_0153,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434768.1_1.fastq.gz,s3://mybucket23443243SRR19434768.1_2.fastq.gz
vp_0154,PAIRED,ILLUMINA,,s3://mybucket23443243SRR19434769.1_1.fastq.gz,s3://mybucket23443243SRR19434769.1_2.fastq.gz
